ticker,filingdate,formtype,issuername,ownername,officertitle,isdirector,isofficer,istenpercentowner,transactiondate,securityadcode,transactioncode,sharesownedbeforetransaction,transactionshares,sharesownedfollowingtransaction,transactionpricepershare,transactionvalue,securitytitle,directorindirect,natureofownership,dateexercisable,priceexercisable,expirationdate,rownum
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,16596,16596,,,Restricted Stock Units 2262009,D,,,0.0,2012-02-28,24
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,12500,-12500,,,,Restricted Stock Units 2262009,D,,,0.0,2012-02-28,23
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,60000,60000,1.64,98400,Time Options 11232008,D,,,1.64,2015-11-23,22
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,60000,-60000,,2.18,130800,Time Options 11232008,D,,,2.18,2015-11-23,21
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,12500,12500,6.74,84250,Perform Options 03032008,D,,,6.74,2015-03-03,20
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,12500,-12500,,8.95,111875,Perform Options 03032008,D,,,8.95,2015-03-03,19
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,12500,12500,6.74,84250,Time Options 03032008,D,,,6.74,2015-03-03,18
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,12500,-12500,,8.95,111875,Time Options 03032008,D,,,8.95,2015-03-03,17
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,13245,13245,12.47,165165,Waiver Options 07182006,D,,,12.47,2016-07-18,16
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,13245,-13245,,16.55,219205,Waiver Options 07182006,D,,,16.55,2016-07-18,15
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,20130,20130,12.47,251021,Waiver Options 04192006,D,,,12.47,2016-04-19,14
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DD,D,20130,-20130,,16.55,333152,Waiver Options 04192006,D,,,16.55,2016-04-19,13
ZZ,2009-08-05,4,SEALY CORP,WALKER KENNETH L,SVP General Counsel  Sec.,N,Y,N,2009-06-12,DA,A,,63571,63571,12.05,766031,Waiver Options 04062006,D,,,12.05,2016-04-06,12
